child_id,time,menu,amount,note
1,2024-10-01 12:00,にんじんペースト,大さじ2,
1,2024-10-01 18:00,おかゆ,小さじ1,
1,2024-10-02 12:00,おかゆ,小さじ1,
1,2024-10-02 18:00,かぼちゃスープ,大さじ2,よく食べた
1,2024-10-03 12:00,りんごすりおろし,小さじ1,残した
1,2024-10-03 18:00,りんごすりおろし,小さじ1,
1,2024-10-04 12:00,にんじんペースト,小さじ1,よく食べた
1,2024-10-04 18:00,りんごすりおろし,大さじ2,よく食べた
1,2024-10-05 12:00,にんじんペースト,小さじ1,
1,2024-10-05 18:00,おかゆ,大さじ2,残した
1,2024-10-06 12:00,りんごすりおろし,大さじ2,よく食べた
1,2024-10-06 18:00,りんごすりおろし,大さじ2,よく食べた
1,2024-10-07 12:00,おかゆ,小さじ1,残した
1,2024-10-07 18:00,りんごすりおろし,大さじ2,
1,2024-10-08 12:00,かぼちゃスープ,大さじ2,よく食べた
1,2024-10-08 18:00,りんごすりおろし,大さじ2,よく食べた
1,2024-10-09 12:00,おかゆ,小さじ1,よく食べた
1,2024-10-09 18:00,かぼちゃスープ,小さじ1,
1,2024-10-10 12:00,りんごすりおろし,小さじ1,残した
1,2024-10-10 18:00,にんじんペースト,小さじ1,残した
1,2024-10-11 12:00,おかゆ,大さじ2,
1,2024-10-11 18:00,にんじんペースト,大さじ2,よく食べた
1,2024-10-12 12:00,おかゆ,大さじ2,残した
1,2024-10-12 18:00,にんじんペースト,大さじ2,よく食べた
1,2024-10-13 12:00,かぼちゃスープ,小さじ1,よく食べた
1,2024-10-13 18:00,りんごすりおろし,小さじ1,残した
1,2024-10-14 12:00,りんごすりおろし,大さじ2,残した
1,2024-10-14 18:00,かぼちゃスープ,大さじ2,
1,2024-10-15 12:00,かぼちゃスープ,大さじ2,残した
1,2024-10-15 18:00,かぼちゃスープ,小さじ1,残した
1,2024-10-16 12:00,にんじんペースト,大さじ2,よく食べた
1,2024-10-16 18:00,おかゆ,小さじ1,
1,2024-10-17 12:00,りんごすりおろし,小さじ1,よく食べた
1,2024-10-17 18:00,おかゆ,小さじ1,
1,2024-10-18 12:00,りんごすりおろし,大さじ2,
1,2024-10-18 18:00,かぼちゃスープ,小さじ1,よく食べた
1,2024-10-19 12:00,おかゆ,大さじ2,
1,2024-10-19 18:00,かぼちゃスープ,小さじ1,残した
1,2024-10-20 12:00,にんじんペースト,大さじ2,
1,2024-10-20 18:00,りんごすりおろし,大さじ2,残した
1,2024-10-21 12:00,にんじんペースト,大さじ2,
1,2024-10-21 18:00,にんじんペースト,小さじ1,よく食べた
1,2024-10-22 12:00,かぼちゃスープ,小さじ1,
1,2024-10-22 18:00,りんごすりおろし,大さじ2,よく食べた
1,2024-10-23 12:00,にんじんペースト,大さじ2,よく食べた
1,2024-10-23 18:00,おかゆ,大さじ2,残した
1,2024-10-24 12:00,おかゆ,大さじ2,
1,2024-10-24 18:00,おかゆ,大さじ2,残した
1,2024-10-25 12:00,おかゆ,大さじ2,
1,2024-10-25 18:00,にんじんペースト,小さじ1,
1,2024-10-26 12:00,にんじんペースト,小さじ1,よく食べた
1,2024-10-26 18:00,にんじんペースト,小さじ1,
1,2024-10-27 12:00,おかゆ,大さじ2,
1,2024-10-27 18:00,おかゆ,大さじ2,よく食べた
1,2024-10-28 12:00,りんごすりおろし,大さじ2,残した
1,2024-10-28 18:00,かぼちゃスープ,大さじ2,よく食べた
1,2024-10-29 12:00,かぼちゃスープ,小さじ1,よく食べた
1,2024-10-29 18:00,りんごすりおろし,小さじ1,残した
1,2024-10-30 12:00,りんごすりおろし,大さじ2,残した
1,2024-10-30 18:00,おかゆ,大さじ2,
1,2024-10-31 12:00,かぼちゃスープ,小さじ1,残した
1,2024-10-31 18:00,りんごすりおろし,大さじ2,残した
1,2024-11-01 12:00,おかゆ,小さじ1,よく食べた
1,2024-11-01 18:00,りんごすりおろし,小さじ1,残した
1,2024-11-02 12:00,りんごすりおろし,小さじ1,
1,2024-11-02 18:00,かぼちゃスープ,小さじ1,残した
1,2024-11-03 12:00,かぼちゃスープ,小さじ1,よく食べた
1,2024-11-03 18:00,りんごすりおろし,大さじ2,
1,2024-11-04 12:00,にんじんペースト,大さじ2,
1,2024-11-04 18:00,にんじんペースト,小さじ1,
1,2024-11-05 12:00,かぼちゃスープ,大さじ2,残した
1,2024-11-05 18:00,おかゆ,大さじ2,よく食べた
1,2024-11-06 12:00,りんごすりおろし,大さじ2,よく食べた
1,2024-11-06 18:00,かぼちゃスープ,大さじ2,
1,2024-11-07 12:00,りんごすりおろし,小さじ1,
1,2024-11-07 18:00,りんごすりおろし,小さじ1,よく食べた
1,2024-11-08 12:00,かぼちゃスープ,大さじ2,
1,2024-11-08 18:00,にんじんペースト,小さじ1,残した
1,2024-11-09 12:00,にんじんペースト,大さじ2,よく食べた
1,2024-11-09 18:00,りんごすりおろし,小さじ1,よく食べた
1,2024-11-10 12:00,かぼちゃスープ,大さじ2,よく食べた
1,2024-11-10 18:00,にんじんペースト,小さじ1,よく食べた
1,2024-11-11 12:00,かぼちゃスープ,大さじ2,よく食べた
1,2024-11-11 18:00,りんごすりおろし,小さじ1,残した
1,2024-11-12 12:00,かぼちゃスープ,小さじ1,残した
1,2024-11-12 18:00,りんごすりおろし,大さじ2,よく食べた
1,2024-11-13 12:00,にんじんペースト,大さじ2,よく食べた
1,2024-11-13 18:00,おかゆ,大さじ2,
1,2024-11-14 12:00,にんじんペースト,大さじ2,
1,2024-11-14 18:00,かぼちゃスープ,大さじ2,残した
1,2024-11-15 12:00,りんごすりおろし,大さじ2,
1,2024-11-15 18:00,りんごすりおろし,大さじ2,よく食べた
1,2024-11-16 12:00,かぼちゃスープ,大さじ2,
1,2024-11-16 18:00,おかゆ,大さじ2,
1,2024-11-17 12:00,かぼちゃスープ,小さじ1,よく食べた
1,2024-11-17 18:00,りんごすりおろし,大さじ2,
1,2024-11-18 12:00,かぼちゃスープ,大さじ2,
1,2024-11-18 18:00,かぼちゃスープ,大さじ2,よく食べた
1,2024-11-19 12:00,にんじんペースト,小さじ1,よく食べた
1,2024-11-19 18:00,にんじんペースト,小さじ1,
1,2024-11-20 12:00,にんじんペースト,小さじ1,よく食べた
1,2024-11-20 18:00,かぼちゃスープ,大さじ2,
1,2024-11-21 12:00,おかゆ,大さじ2,よく食べた
1,2024-11-21 18:00,かぼちゃスープ,小さじ1,
1,2024-11-22 12:00,りんごすりおろし,小さじ1,残した
1,2024-11-22 18:00,かぼちゃスープ,大さじ2,
1,2024-11-23 12:00,おかゆ,大さじ2,よく食べた
1,2024-11-23 18:00,おかゆ,小さじ1,残した
1,2024-11-24 12:00,おかゆ,小さじ1,よく食べた
1,2024-11-24 18:00,にんじんペースト,小さじ1,残した
1,2024-11-25 12:00,にんじんペースト,小さじ1,
1,2024-11-25 18:00,おかゆ,小さじ1,よく食べた
1,2024-11-26 12:00,おかゆ,大さじ2,残した
1,2024-11-26 18:00,おかゆ,小さじ1,残した
1,2024-11-27 12:00,にんじんペースト,大さじ2,よく食べた
1,2024-11-27 18:00,にんじんペースト,大さじ2,残した
1,2024-11-28 12:00,にんじんペースト,小さじ1,
1,2024-11-28 18:00,おかゆ,大さじ2,残した
1,2024-11-29 12:00,にんじんペースト,小さじ1,
