child_id,height,weight,date
1,50.1,3.2,2024-10-01
1,49.6,3.5,2024-10-08
1,50.0,3.6,2024-10-15
1,50.4,3.6,2024-10-22
1,52.6,3.7,2024-10-29
1,51.2,3.8,2024-11-05
1,51.8,3.9,2024-11-12
1,52.3,4.0,2024-11-19
1,54.3,4.1,2024-11-26
1,54.5,4.3,2024-12-03
1,53.9,4.4,2024-12-10
1,55.2,4.6,2024-12-17
1,54.1,4.6,2024-12-24
1,55.4,4.6,2024-12-31
1,55.1,4.9,2025-01-07
1,57.5,5.0,2025-01-14
1,56.8,5.1,2025-01-21
1,56.3,5.2,2025-01-28
1,57.5,5.3,2025-02-04
1,58.3,5.4,2025-02-11
1,57.8,5.4,2025-02-18
1,59.3,5.5,2025-02-25
1,60.5,5.6,2025-03-04
1,60.6,5.9,2025-03-11
1,60.8,5.9,2025-03-18
1,60.3,6.1,2025-03-25
1,60.5,6.0,2025-04-01
1,61.6,6.3,2025-04-08
1,62.6,6.2,2025-04-15
1,61.3,6.4,2025-04-22
1,64.1,6.4,2025-04-29
1,64.3,6.8,2025-05-06
1,63.5,6.7,2025-05-13
1,63.5,6.8,2025-05-20
1,65.1,7.0,2025-05-27
1,66.1,7.1,2025-06-03
1,66.2,7.2,2025-06-10
1,65.4,7.4,2025-06-17
1,65.2,7.5,2025-06-24
1,67.0,7.6,2025-07-01
1,68.1,7.7,2025-07-08
1,68.4,7.6,2025-07-15
1,68.1,7.9,2025-07-22
1,68.8,8.1,2025-07-29
1,68.7,8.0,2025-08-05
1,69.4,8.1,2025-08-12
1,69.7,8.3,2025-08-19
1,70.5,8.3,2025-08-26
1,71.6,8.5,2025-09-02
1,71.9,8.8,2025-09-09
1,70.9,8.8,2025-09-16
1,71.5,8.9,2025-09-23
1,73.4,8.9,2025-09-30
1,71.8,9.0,2025-10-07
1,73.3,9.2,2025-10-14
1,74.7,9.2,2025-10-21
1,75.0,9.4,2025-10-28
1,73.8,9.5,2025-11-04
